GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
bank-account-junit,default,BankAccount.InsufficientFundsException,0,4,0,0,0,2,0,1,0,1
bank-account-junit,default,BankAccount,0,86,0,6,0,22,0,10,0,7
